"Date","State","Employed_Persons"
"Apr-1983","New.South.Wales",2177.2
"Apr-1983","Victoria",1656.9
"Apr-1983","Queensland",977.9
"Apr-1983","South.Australia",541.8
"Apr-1983","Western.Australia",573.1
"Apr-1983","Tasmania",165.1
"Apr-1983","Northern.Territory",58.4
"Apr-1983","Australian.Capital.Territory",104.1
"May-1983","New.South.Wales",2182.7
"May-1983","Victoria",1658.7
"May-1983","Queensland",981.9
"May-1983","South.Australia",544
"May-1983","Western.Australia",574.6
"May-1983","Tasmania",165.4
"May-1983","Northern.Territory",60
"May-1983","Australian.Capital.Territory",105.5
"Jun-1983","New.South.Wales",2172.4
"Jun-1983","Victoria",1668.3
"Jun-1983","Queensland",981.5
"Jun-1983","South.Australia",538.6
"Jun-1983","Western.Australia",569.9
"Jun-1983","Tasmania",167.5
"Jun-1983","Northern.Territory",62.2
"Jun-1983","Australian.Capital.Territory",106
"Jul-1983","New.South.Wales",2169.7
"Jul-1983","Victoria",1684.3
"Jul-1983","Queensland",985.6
"Jul-1983","South.Australia",536.8
"Jul-1983","Western.Australia",579.8
"Jul-1983","Tasmania",166.5
"Jul-1983","Northern.Territory",64
"Jul-1983","Australian.Capital.Territory",108.2
"Aug-1983","New.South.Wales",2140.8
"Aug-1983","Victoria",1675.1
"Aug-1983","Queensland",980.3
"Aug-1983","South.Australia",537.9
"Aug-1983","Western.Australia",574.5
"Aug-1983","Tasmania",165
"Aug-1983","Northern.Territory",59.6
"Aug-1983","Australian.Capital.Territory",107.9
"Sep-1983","New.South.Wales",2184.1
"Sep-1983","Victoria",1700.4
"Sep-1983","Queensland",1006.3
"Sep-1983","South.Australia",547.3
"Sep-1983","Western.Australia",582.1
"Sep-1983","Tasmania",168.1
"Sep-1983","Northern.Territory",60.6
"Sep-1983","Australian.Capital.Territory",109.2
"Oct-1983","New.South.Wales",2172.8
"Oct-1983","Victoria",1698.1
"Oct-1983","Queensland",999.4
"Oct-1983","South.Australia",547
"Oct-1983","Western.Australia",582.4
"Oct-1983","Tasmania",167.1
"Oct-1983","Northern.Territory",59.7
"Oct-1983","Australian.Capital.Territory",109.6
"Nov-1983","New.South.Wales",2197.8
"Nov-1983","Victoria",1702.4
"Nov-1983","Queensland",1008.5
"Nov-1983","South.Australia",551.8
"Nov-1983","Western.Australia",580.9
"Nov-1983","Tasmania",166.4
"Nov-1983","Northern.Territory",60.1
"Nov-1983","Australian.Capital.Territory",109.6
"Dec-1983","New.South.Wales",2219.3
"Dec-1983","Victoria",1726.2
"Dec-1983","Queensland",1014.5
"Dec-1983","South.Australia",563.3
"Dec-1983","Western.Australia",591.9
"Dec-1983","Tasmania",171.5
"Dec-1983","Northern.Territory",58
"Dec-1983","Australian.Capital.Territory",111.7
"Jan-1984","New.South.Wales",2148.7
"Jan-1984","Victoria",1648.2
"Jan-1984","Queensland",985.4
"Jan-1984","South.Australia",554.2
"Jan-1984","Western.Australia",579.5
"Jan-1984","Tasmania",167.2
"Jan-1984","Northern.Territory",58.4
"Jan-1984","Australian.Capital.Territory",109.8
"Feb-1984","New.South.Wales",2182.1
"Feb-1984","Victoria",1694.4
"Feb-1984","Queensland",1008.4
"Feb-1984","South.Australia",556.8
"Feb-1984","Western.Australia",588.2
"Feb-1984","Tasmania",166.2
"Feb-1984","Northern.Territory",57.8
"Feb-1984","Australian.Capital.Territory",111.5
"Mar-1984","New.South.Wales",2241.3
"Mar-1984","Victoria",1735.8
"Mar-1984","Queensland",1024.4
"Mar-1984","South.Australia",568
"Mar-1984","Western.Australia",593.7
"Mar-1984","Tasmania",172.8
"Mar-1984","Northern.Territory",56.2
"Mar-1984","Australian.Capital.Territory",111
"Apr-1984","New.South.Wales",2231.4
"Apr-1984","Victoria",1721.3
"Apr-1984","Queensland",1020.4
"Apr-1984","South.Australia",568.9
"Apr-1984","Western.Australia",600.4
"Apr-1984","Tasmania",172.1
"Apr-1984","Northern.Territory",52.2
"Apr-1984","Australian.Capital.Territory",110.8
"May-1984","New.South.Wales",2239.6
"May-1984","Victoria",1728.2
"May-1984","Queensland",1022.7
"May-1984","South.Australia",564.3
"May-1984","Western.Australia",598.7
"May-1984","Tasmania",169.9
"May-1984","Northern.Territory",53.8
"May-1984","Australian.Capital.Territory",112.4
"Jun-1984","New.South.Wales",2241.4
"Jun-1984","Victoria",1730.3
"Jun-1984","Queensland",1027
"Jun-1984","South.Australia",564.5
"Jun-1984","Western.Australia",595.3
"Jun-1984","Tasmania",169.2
"Jun-1984","Northern.Territory",56.1
"Jun-1984","Australian.Capital.Territory",115.1
"Jul-1984","New.South.Wales",2257.2
"Jul-1984","Victoria",1744.8
"Jul-1984","Queensland",1026.3
"Jul-1984","South.Australia",565.9
"Jul-1984","Western.Australia",592.8
"Jul-1984","Tasmania",169
"Jul-1984","Northern.Territory",55.4
"Jul-1984","Australian.Capital.Territory",117.2
"Aug-1984","New.South.Wales",2241.4
"Aug-1984","Victoria",1722.8
"Aug-1984","Queensland",1008.1
"Aug-1984","South.Australia",563.6
"Aug-1984","Western.Australia",593.6
"Aug-1984","Tasmania",166.8
"Aug-1984","Northern.Territory",55.5
"Aug-1984","Australian.Capital.Territory",114.4
"Sep-1984","New.South.Wales",2283.4
"Sep-1984","Victoria",1757.4
"Sep-1984","Queensland",1030.5
"Sep-1984","South.Australia",565.1
"Sep-1984","Western.Australia",600.5
"Sep-1984","Tasmania",168.7
"Sep-1984","Northern.Territory",58.5
"Sep-1984","Australian.Capital.Territory",115.8
"Oct-1984","New.South.Wales",2266.5
"Oct-1984","Victoria",1753.6
"Oct-1984","Queensland",1017
"Oct-1984","South.Australia",569.3
"Oct-1984","Western.Australia",598
"Oct-1984","Tasmania",171.3
"Oct-1984","Northern.Territory",60.7
"Oct-1984","Australian.Capital.Territory",116.9
"Nov-1984","New.South.Wales",2274.9
"Nov-1984","Victoria",1759.7
"Nov-1984","Queensland",1011.5
"Nov-1984","South.Australia",579
"Nov-1984","Western.Australia",603.3
"Nov-1984","Tasmania",173.6
"Nov-1984","Northern.Territory",58.7
"Nov-1984","Australian.Capital.Territory",115.4
"Dec-1984","New.South.Wales",2290.4
"Dec-1984","Victoria",1782
"Dec-1984","Queensland",1015.2
"Dec-1984","South.Australia",580.8
"Dec-1984","Western.Australia",612.8
"Dec-1984","Tasmania",176.2
"Dec-1984","Northern.Territory",59.4
"Dec-1984","Australian.Capital.Territory",119.3
"Jan-1985","New.South.Wales",2223.8
"Jan-1985","Victoria",1716.6
"Jan-1985","Queensland",993.6
"Jan-1985","South.Australia",564
"Jan-1985","Western.Australia",603
"Jan-1985","Tasmania",175.7
"Jan-1985","Northern.Territory",58.4
"Jan-1985","Australian.Capital.Territory",117.4
"Feb-1985","New.South.Wales",2275.1
"Feb-1985","Victoria",1758.7
"Feb-1985","Queensland",1012.5
"Feb-1985","South.Australia",579.9
"Feb-1985","Western.Australia",607.9
"Feb-1985","Tasmania",179.8
"Feb-1985","Northern.Territory",62.7
"Feb-1985","Australian.Capital.Territory",119.1
"Mar-1985","New.South.Wales",2292.8
"Mar-1985","Victoria",1758
"Mar-1985","Queensland",1036.7
"Mar-1985","South.Australia",585.1
