Survey month,State and territory,Leave entitlements,Industry,Median Weekly Earnings,,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Administrative and support services,947.5,,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Public administration and safety,"1,250.0",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Education and training,"1,453.1",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Health care and social assistance,"1,154.5",,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Arts and recreation services,978.5,,,,,,,,,,,,,,
2015,   Tasmania,Total employees,Other services,800.0,,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,"Agriculture, forestry and fishing","1,233.8",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Mining,"2,000.0",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Manufacturing,"1,377.8",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,"Electricity, gas, water and waste services","1,388.7",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Construction,"1,520.8",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Wholesale trade,900.0,,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Retail trade,900.0,,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Accommodation and food services,"1,192.1",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,"Transport, postal and warehousing","1,202.7",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Information Media and telecommunications,"1,200.0",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Financial and insurance services,"1,138.2",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,"Rental, hiring and real estate services","1,029.2",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,"Professional, scientific and technical services","1,348.8",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Administrative and support services,"1,088.9",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Public administration and safety,"1,516.9",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Education and training,"1,345.0",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Health care and social assistance,"1,141.9",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Arts and recreation services,"1,045.2",,,,,,,,,,,,,,
2015,   Northern Territory,Total employees,Other services,"1,073.1",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0.0,,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Mining,0.0,,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Manufacturing,"1,205.7",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services","1,666.6",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Construction,"1,282.7",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Wholesale trade,"1,749.7",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Retail trade,900.3,,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Accommodation and food services,875.0,,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,"Transport, postal and warehousing","1,424.6",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Information Media and telecommunications,"1,640.8",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Financial and insurance services,"1,052.4",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",0.0,,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,"Professional, scientific and technical services","1,763.1",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Administrative and support services,"1,031.4",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Public administration and safety,"1,660.7",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Education and training,"1,510.6",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Health care and social assistance,"1,200.0",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Arts and recreation services,"1,530.2",,,,,,,,,,,,,,
2015,   Australian Capital Territory,Total employees,Other services,"1,303.2",,,,,,,,,,,,,,
2016,   New South Wales,Total employees,"Agriculture, forestry and fishing","1,007.6",,,,,,,,,,,,,,
2016,   New South Wales,Total employees,Mining,"2,010.4",,,,,,,,,,,,,,
2016,   New South Wales,Total employees,Manufacturing,"1,250.0",,,,,,,,,,,,,,
2016,   New South Wales,Total employees,"Electricity, gas, water and waste services","1,349.6",,,,,,,,,,,,,,
